"Phrase","PhraseID","Accentuation","Clitic objects","Cyrillic phrase","Doubled phrase","Evidential","Interrogative","Line","LineID","Miscellaneous","Negation","Phrase","Reflexive","Style","Syntactic cohesion","Tense-mood","Token","TokenID","Verbal phrase","Word order"
"mu kàzvaxme","76604","","1.obj.pron.","","","","","Belica 2: 161","23239","","","mu kàzvaxme","","","","imperfect","mu, kàzvaxme","31684, 23238","",""
"se mèseše","76603","","","","","","","Belica 2: 161","23239","","","se mèseše","reflexive","","","imperfect","se, mèseše","12409, 15399","",""
"tùšni go","76600","","1.obj.pron.","","","","","Belica 2: 152","23216","","","tùšni go","","","","imperative","tùšni, go","23213, 12536","",""
"fṛ̀lim go","76599","","1.obj.pron.","","","","","Belica 2: 151","23212","","","fṛ̀lim go","","","","present","fṛ̀lim, go","23209, 12536","",""
"izmetème a","76598","","1.obj.pron.","","","","","Belica 2: 150","23168","","","izmetème a","","","","present","izmetème, a","23165, 23477","",""
"se napàli","76597","","","","","","","Belica 2: 150","23168","","","se napàli","reflexive","","","present","se, napàli","12409, 24642","",""
"napàlim a","76595","","1.obj.pron.","","","","","Belica 2: 148","23156","","","napàlim a","","","","present","napàlim, a","23142, 23477","",""
"čèkam go","76593","","1.obj.pron.","","","","","Belica 2: 142","23133","","","čèkam go","","","","present","čèkam, go","23130, 12536","",""
"mèsa go","76591","","1.obj.pron.","","","","","Belica 2: 141","23127","","","mèsa go","","","","present","mèsa, go","22893, 14385","",""
"šupnàlo","76590","","","","","renarrated","","Belica 2: 141","23127","","","šupnàlo","","","","","šupnàlo","23126","",""
"pòdmesa go","76589","","1.obj.pron.","","","","","Belica 2: 141","23127","","","pòdmesa go","","","","present","pòdmesa, go","15475, 14385","",""
"pòdmesa go","76587","","1.obj.pron.","","","","","Belica 2: 140","23123","","","pòdmesa go","","","","present","pòdmesa, go","15475, 14385","",""
"se natòpi","76586","","","","","","","Belica 2: 139","23119","","","se natòpi","reflexive","","","present","se, natòpi","12409, 23116","",""
"sme izèle","76585","","","","","","","Belica 2: 138","23115","","","sme izèle","","","","perfect","sme, izèle","12768, 23114","",""
"mu se kàzva","76584","","refl+obj.pron.","","","","","Belica 2: 136","23112","","","mu se kàzva","reflexive","","","present","mu, se, kàzva","31684, 12409, 2091","",""
"ostàvilè sme","76583","dbl.acc","","","","","","Belica 2: 135","22922","","","ostàvilè sme","","","","perfect","ostàvilè, sme","74492, 12768","",""
"sme si omèsile","76582","","","","","","","Belica 2: 135","22922","","","sme si omèsile","reflexive","","","perfect","sme, si, omèsile","12768, 12879, 22912","","aux-obj"
"sme si omèsile","76581","","","","","","","Belica 2: 134","22916","","","sme si omèsile","reflexive","","","perfect","sme, si, omèsile","12768, 12879, 22912","","aux-obj"
"mèsihmè go","76580","dbl.acc","1.obj.pron.","","","","","Belica 2: 134","22916","","","mèsihmè go","","","","aorist","mèsihmè, go","22911, 14385","",""
"si sedì","76579","","","","","","","Belica 2: 129","22898","","","si sedì","reflexive","","","present","si, sedì","12879, 19922","",""
"še go tùra","76578","","1.obj.pron.","","","","","Belica 2: 129","22898","","","še go tùra","","","","future","še, go, tùra","13272, 14385, 5789","",""
"go ìzmesa","76577","","1.obj.pron.","","","","","Belica 2: 128","22897","","","go ìzmesa","","","","present","go, ìzmesa","14385, 22896","",""
"mèsa si ","76575","","","","","","","Belica 2: 128","22897","","","mèsa si ","reflexive","","","present","mèsa, si","22893, 12879","",""
"si òtsea","76574","","","","","","","Belica 2: 127","22891","","","si òtsea","reflexive","","","present","si, òtsea","12879, 22890","",""
"sedì si","76573","","","","","","","Belica 2: 127","22891","","","sedì si","reflexive","","","present","sedì, si","19922, 12879","",""
"turìle sme ","76572","","","","","","","Belica 2: 126","22886","","","turìle sme ","","","","perfect","turìle, sme","22883, 12768","",""
"sedì si","76571","","","","","","","Belica 2: 126","22886","","","sedì si","reflexive","","","present","sedì, si","19922, 12879","",""
"nèma da isɤ̀xne ","76570","","","","","","","Belica 2: 117","22861","neg.fut.as.pres","neg","nèma da isɤ̀xne ","","","","future","nèma, da, isɤ̀xne","25718, 11415, 21527","",""
"nèma da fàne","76569","","","","","","","Belica 2: 116","22799","neg.fut.as.pres","neg","nèma da fàne","","","nonsequential","future","nèma, da, fàne","24639, 11415, 16418","",""
"òpečà go","76568","dbl.acc","1.obj.pron.","","","","","Belica 2: 115","22794","","","òpečà go","","","","present","òpečà, go","22792, 12536","",""
"tùra se","76567","","","","","","","Belica 2: 112","22786","","","tùra se","reflexive","","","present","tùra, se","22785, 12409","",""
"sɤbìra se","76566","","","","","","","Belica 2: 112","22786","","","sɤbìra se","reflexive","","","present","sɤbìra, se","22784, 12409","",""
"go isfṛ̀ga","76565","","1.obj.pron.","","","","","Belica 2: 110","22781","","","go isfṛ̀ga","","","","present","go, isfṛ̀ga","14385, 22779","",""
"si pàda","76564","","","","","","","Belica 2: 109","22775","","","si pàda","reflexive","","","present","si, pàda","12879, 27796","",""
"si e napràveno","76563","","","","","","","Belica 2: 109","22775","","","si e napràveno","reflexive","","nonsequential","present","si, e, napràveno","12879, 987, 22772","pass.part",""
"si se vṛtì","76562","","2.refl.clit","","","","","Belica 2: 108","22770","","","si se vṛtì","reflexive","","","present","si, se, vṛtì","12879, 12409, 22767","",""
"se žɤ̀ne","76561","","","","","","","Belica 2: 102","22755","","","se žɤ̀ne","reflexive","","","present","se, žɤ̀ne","12409, 12166","",""
"nasèe se","76560","","","","","","","Belica 2: 101","22412","","","nasèe se","reflexive","","","present","nasèe, se","22409, 12409","",""
"se ne sèe","76559","","","","","","","Belica 2: 100","22407","","clit-neg","se ne sèe","reflexive","","nonsequential","present","se, ne, sèe","12409, 7850, 9327","",""
"se sèe","76558","","","","","","","Belica 2: 99","22404","","","se sèe","reflexive","","","present","se, sèe","12409, 9327","",""
"si e pčenìca","76557","","","","","","","Belica 2: 97","22395","","","si e pčenìca","reflexive","","","present","si, e, pčenìca","12879, 987, 22394","predicate",""
"čenìcatà e","76556","dbl.acc","","","","","","Belica 2: 95","22386","","","čenìcatà e","","","","","čenìcatà, e","26943, 987","",""
"se kàzva","76555","","","","","","","Belica 2: 93","22382","","","se kàzva","reflexive","","","present","se, kàzva","12409, 2091","",""
"se sèe","76554","","","","","","","Belica 2: 89","22375","","","se sèe","reflexive","","","present","se, sèe","12409, 9327","",""
"se ìgrə","76553","","","","","","","Dolno Draglište 2: 13","25164","","","se ìgrə","reflexive","","nonsequential","present","se, ìgrə","12409, 25162","",""
"se zəkòl’e","76552","","","","","","","Dolno Draglište 2: 12","25161","","","se zəkòl’e","reflexive","","nonsequential","present","se, zəkòl'e","12409, 25160","",""
"si zəkòle","76551","","","","","","","Dolno Draglište 2: 10","25152","","","si zəkòle","reflexive","","nonsequential","present","si, zəkòle","12879, 25149","",""
"sme pustìli","76550","","","","","","","Dolno Draglište 2: 4","24838","","","sme pustìli","","","aux-X-verb","perfect","sme, pustìli","12768, 24837","",""
"kət sme rəždàli","76549","","","","","","","Dolno Draglište 1: 21","19883","","","kət sme rəždàli","","","aux-X-verb","perfect","kət, sme, rəždàli","17035, 12768, 19879","",""
"də gi duìme","76548","","1.obj.pron.","","","","","Brŭšljan 1: 21","15297","","","də gi duìme","","","nonsequential","present","də, gi, duìme","974, 1152, 15296","",""
"ne sɤ̀m živeàla","76547","","","","","","","Belica 1: 134","12491","","neg-clit","ne sɤ̀m živeàla","","","aux-X-verb","perfect","ne, sɤ̀m, živeàla","7850, 15576, 12490","",""
"dà sa ispàč’eni","76546","","","","","","","Bansko: 300","37119","","","dà sa ispàč’eni","","","nonsequential","present","dà, sa, ispàč’eni","37115, 15546, 37118","pass.part",""
"sam tkàla","76545","","","","","","","Bansko: 266","36941","","","sam tkàla","","","aux-X-verb","perfect","sam, tkàla","16202, 36913","",""
"tikizis’è gu nəpràviə","76544","","1.obj.pron.","","nom-clt.pron.","","","Bangejci 1: 65","19491","","","tikizis’è gu nəpràviə","","","nonsequential","aorist","tikizis’è, gu, nəpràviə","74972, 11923, 19489","",""
"əkɤ̀lə mi ̀ne sɤ̀m gu zəgùbilə","76543","","1.obj.pron.","","nom-clt.pron.","","","Bangejci 1: 42","18515","","neg-clit","əkɤ̀lə mi ̀ne sɤ̀m gu zəgùbilə","","","nonsequential","perfect","əkɤ̀lə, mi, ne, sɤ̀m, gu, zəgùbilə","18513, 13233, 7850, 15576, 11915, 18514","",""
"devedes’è gudìni gi nəvɤ̀ršəm","76542","","1.obj.pron.","","nom-clt.pron.","","","Bangejci 1: 38","18501","","","devedes’è gudìni gi nəvɤ̀ršəm","","","nonsequential","present","devedes’è, gudìni, gi, nəvɤ̀ršəm","74975, 21157, 1152, 18500","",""
"si e s’èlu","76541","","","","","","","Bangejci 1: 16","76148","","","si e s’èlu","reflexive","","nonsequential","present","si, e, s’èlu","12879, 987, 57126","predicate",""
"gerg’òvden gu praznùvahme","76540","","1.obj.pron.","","nom-clt.pron.","","","Babjak 2: 3","13425","","","gerg’òvden gu praznùvahme","","","nonsequential","imperfect","gerg’òvden, gu, praznùvahme","43438, 11915, 12522","",""
"gu ubɤ̀rneme","76539","","1.obj.pron.","","","","","Dolno Draglište 3: 41","24372","","","gu ubɤ̀rneme","","","","present","gu, ubɤ̀rneme","11923, 24364","",""
"iscrɤ̀vi se","76538","","","","","","","Dolno Draglište 3: 40","24370","","","iscrɤ̀vi se","reflexive","","","present","iscrɤ̀vi, se","24366, 12409","",""
"gu ubɤ̀rneme","76537","","1.obj.pron.","","","","","Dolno Draglište 3: 39","24365","","","gu ubɤ̀rneme","","","","present","gu, ubɤ̀rneme","11923, 24364","",""
"kàk gu puznàvəš","76536","","1.obj.pron.","","","","","Dolno Draglište 3: 39","24365","","","kàk gu puznàvəš","","","","present","kàk, gu, puznàvəš","11894, 11923, 24361","",""
"i prekàdi","76535","","1.obj.pron.","","","","","Dolno Draglište 3: 37","24359","","","i prekàdi","","","","present","i, prekàdi","23110, 24358","",""
"izvàdimè i","76534","dbl.acc","1.obj.pron.","","","","","Dolno Draglište 3: 36","24355","","","izvàdimè i","","","","present","izvàdimè, i, gutòvi","26429, 23110, 1284","",""
"də se ispekà","76533","","","","","","","Dolno Draglište 3: 36","24355","","","də se ispekà","reflexive","","","present","də, se, ispekà","974, 12409, 24352","",""
"izmetèm jə","76532","","1.obj.pron.","","","","","Dolno Draglište 3: 35","24351","","","izmetèm jə","","","","present","izmetèm, jə","30047, 14297","",""
"pet šès","76531","","","","","","","Dolno Draglište 3: 34","24347","approx.num","","pet šès","","","","","pet, šès","15705, 27155","",""
"soberè̝m se","76530","","","","","","","Dolno Draglište 3: 34","24347","","","soberè̝m se","reflexive","","","present","soberè̝m, se","24344, 12409","",""
"suberè̝m se","76529","","","","","","","Dolno Draglište 3: 32","24338","","","suberè̝m se","reflexive","","","present","suberè̝m, se","24334, 12409","",""
"č’e čèkə","76528","","","","","","","Dolno Draglište 3: 30","24332","","","č’e čèkə","","","","future","č’e, čèkə","19853, 24330","",""
"ustàime si","76527","","","","","","","Dolno Draglište 3: 29","24329","","","ustàime si","reflexive","","","present","ustàime, si","24324, 12879","",""
"si zəbrɤ̀kəme","76526","","","","","","","Dolno Draglište 3: 28","24323","","","si zəbrɤ̀kəme","reflexive","","","present","si, zəbrɤ̀kəme","12879, 24373","",""
"č’e gu pràviš","76525","","1.obj.pron.","","","","","Dolno Draglište 3: 26","24316","","","č’e gu pràviš","","","","future","č’e, gu, pràviš","19853, 11915, 3896","",""
"č’e č’ìsne","76524","","","","","","","Dolno Draglište 3: 25","24314","","","č’e č’ìsne","","","","future","č’e, č'ìsne","19853, 24309","",""
"se pečè","76523","","","","","","","Dolno Draglište 3: 19","24296","","","se pečè","reflexive","","","present","se, pečè","12409, 12608","",""
"se pečè","76522","","","","","","","Dolno Draglište 3: 18","24293","","","se pečè","reflexive","","","present","se, pečè","12409, 12608","",""
"hi izvàdime","76521","","1.obj.pron.","","","","","Dolno Draglište 3: 18","24293","","","hi izvàdime","","","","present","hi, izvàdime","14253, 24290","",""
"se ispečè","76520","","","","","","","Dolno Draglište 3: 17","24289","","","se ispečè","reflexive","","","present","se, ispečè","12409, 24287","",""
"si splèskəme","76519","","","","","","","Dolno Draglište 3: 13","24283","","","si splèskəme","reflexive","","","present","si, splèskəme","12879, 24280","",""
"ud lèbə","76518","","","","","","","Dolno Draglište 3: 13","24283","od+obj","","ud lèbə","","","","","ud, lèbə","5983, 24279","",""
"se izpekà","76517","","","","","","","Dolno Draglište 3: 12","24278","","","se izpekà","reflexive","","","present","se, izpekà","12409, 24274","",""
"sme rabotìli","76516","","","","","","","Belica 2: 84","22358","","","sme rabotìli","","","","perfect","sme, rabotìli","12768, 4299","",""
"se kàzva","76515","","","","","","","Belica 2: 82","22357","","","se kàzva","reflexive","","","present","se, kàzva","12409, 2091","",""
"lètn’oto go vlàčim","76514","","1.obj.pron.","","nom-clt.pron.","","","Belica 2: 82","22357","","","lètn’oto go vlàčim","","","","present","lètn'oto, go, vlàčim","22351, 14385, 22352","",""
"go zaròvi","76513","","1.obj.pron.","","","","","Belica 2: 80","22349","","","go zaròvi","","","","present","go, zaròvi","14385, 22348","",""
"esèn’oto žìto go ur nasèem","76512","","1.obj.pron.","","nom-clt.pron.","","","Belica 2: 80","22349","","","esèn’oto žìto go ur nasèem","","","","present","esèn'oto, žìto, go, ur, nasèem","22340, 22342, 14385, 22344, 22345","",""
"si vṛvìm","76511","","","","","","","Belica 2: 77","22339","","","si vṛvìm","reflexive","","","present","si, vṛvìm","12879, 22338","",""
"gu zavlèčeme","76510","","1.obj.pron.","","","","","Belica 2: 77","22339","","","gu zavlèčeme","","","","present","gu, zavlèčeme","11923, 22337","",""
"nasèem gu","76509","","1.obj.pron.","","","","","Belica 2: 77","22339","","","nasèem gu","","","","present","nasèem, gu","22345, 11923","",""
"zìam go","76508","","1.obj.pron.","","","","","Belica 2: 73","22322","","","zìam go","","","","present","zìam, go","22320, 12536","",""
"mu kàzvat","76507","","1.obj.pron.","","","","","Belica 2: 73","22322","","","mu kàzvat","","","","present","mu, kàzvat","31684, 22319","",""
"si ìma","76506","","","","","","","Belica 2: 69","22197","","","si ìma","reflexive","","","present","si, ìma","12879, 25604","",""
"mu kàzvaa","76505","","1.obj.pron.","","","","","Belica 2: 66","22190","","","mu kàzvaa","","","","present","mu, kàzvaa","31684, 21593","",""
"si ìmaše","76504","","","","","","","Belica 2: 65","22185","","","si ìmaše","reflexive","","","imperfect","si, ìmaše","12879, 7146","",""
"mèlem go","76503","","1.obj.pron.","","","","","Belica 2: 61","22178","","","mèlem go","","","","present","mèlem, go","24638, 14385","",""
"kàčvame go","76502","","1.obj.pron.","","","","","Belica 2: 60","22177","","","kàčvame go","","","","present","kàčvame, go","21588, 14385","",""
"sùšime go","76501","","1.obj.pron.","","","","","Belica 2: 60","22177","","","sùšime go","","","","present","sùšime, go","21587, 14385","",""
"prostìramè go","76500","dbl.acc","1.obj.pron.","","","","","Belica 2: 59","21586","","","prostìramè go","","","","present","prostìramè, go","24637, 14385","",""
"šte go jadè","76499","","1.obj.pron.","","","","","Belica 2: 58","21582","","","šte go jadè","","","","future","šte, go, jadè","12260, 14385, 21581","",""
"se krìe","76498","","","","","","","Belica 2: 58","21582","","","se krìe","reflexive","","","present","se, krìe","12409, 21579","",""
"si ìma","76497","","","","","","","Belica 2: 53","21259","","","si ìma","reflexive","","","present","si, ìma","12879, 16340","",""
"nafṛ̀game a","76496","","1.obj.pron.","","","","","Belica 2: 51","21246","","","nafṛ̀game a","","","","present","nafṛ̀game, a","21243, 23477","",""
"kato go odberèm","76495","","1.obj.pron.","","","","","Belica 2: 51","21246","","","kato go odberèm","","","","present","kato, go, odberèm","12191, 14385, 20926","",""
"nèma vìdim","76494","","","","","","","Belica 2: 50","21240","no.compl..","neg","nèma vìdim","","","","future","nèma, vìdim","25718, 29606","",""
"sèštam se","76493","","","","","","","Belica 2: 48","21235","","","sèštam se","reflexive","","","present","sèštam, se","21232, 12409","",""
"mu se kàzva","76492","","refl+obj.pron.","","","","","Belica 2: 41","21218","","","mu se kàzva","reflexive","","","present","mu, se, kàzva","31684, 12409, 2091","",""
"ako ne sɤ̀ volòvete","76491","","","","","","","Belica 2: 35","21204","","neg-clit","ako ne sɤ̀ volòvete","","","","present","ako","14411","predicate",""
"mu vìkəme","76490","","1.obj.pron.","","","","","Dolno Draglište 3: 9","24214","","","mu vìkəme","","","","present","mu, vìkəme","19054, 15909","",""
"pràve:me si","76489","","","","","","","Dolno Draglište 3: 9","24214","","","pràve:me si","reflexive","","","imperfect","pràve:me, si","74794, 12879","",""
"mu vìka:me","76488","","1.obj.pron.","","","","","Dolno Draglište 3: 8","24232","","","mu vìka:me","","","","imperfect","mu, vìka:me","24228, 24229","",""
"č’e gu nəmèsime","76487","","1.obj.pron.","","","","","Dolno Draglište 3: 6","24209","","","č’e gu nəmèsime","","","","future","","","",""
"mèsimè gu","76486","dbl.acc","1.obj.pron.","","","","","Dolno Draglište 3: 5","24204","","","mèsimè gu","","","","present","mèsimè, gu","24202, 11915","",""
"ne sì li vidèl","76485","","","","","","interr.clit","Dolno Draglište 3: 4","24200","","neg-clit","ne sì li vidèl","","","","perfect","ne, sì, li, vidèl","7850, 21871, 14269, 28062","",""
"gu pèkɤ le","76484","","1.obj.pron.","","","","interr.clit","Dolno Draglište 3: 3","24196","","","gu pèkɤ le","","","","present","gu, pèkɤ, le","11915, 24195, 14783","",""
"si mesùvame","76483","","","","","","","Dolno Draglište 3: 1","24193","","","si mesùvame","reflexive","","","imperfect","si, mesùvame","12879, 24191","",""
"pìe se","76481","","","","","","","Dolno Draglište 2: 12","25161","","","pìe se","reflexive","","","present","pìe, se","17556, 12409","",""
"jadè se","76480","","","","","","","Dolno Draglište 2: 12","25161","","","jadè se","reflexive","","","present","jadè, se","21581, 12409","",""
"č’ ìda:","76478","","","","","","","Dolno Draglište 2: 11","25158","","","č’ ìda:","","","","future","č', ìda:","19855, 25155","",""
"č’ ìiš","76477","","","","","","","Dolno Draglište 2: 11","25158","","","č’ ìiš","","","","future","č', ìiš","19855, 16970","",""
"se ublàžime","76475","","","","","","","Dolno Draglište 2: 9","24884","","","se ublàžime","reflexive","","","present","se, ublàžime","12409, 24883","",""
"se bujədìsa:","76474","","","","","","","Dolno Draglište 2: 9","24884","","","se bujədìsa:","reflexive","","","present","se, bujədìsa:","12409, 24880","",""
"tə sme udìli","76473","","","","","","","Dolno Draglište 2: 5","24860","","","tə sme udìli","","","","perfect","tə, sme, udìli","9032, 12768, 24855","",""
"se e raptìlu","76471","","","","","","","Dolno Draglište 2: 3","24854","","","se e raptìlu","reflexive","","","perfect","se, e, raptìlu","12409, 26185, 24853","",""
"č’ ìim","76470","","","","","","","Dolno Draglište 2: 2","24850","","","č’ ìim","","","","future","č', ìim","19855, 24847","",""
"vrɤ̀nemè se","76469","dbl.acc","","","","","","Dolno Draglište 2: 1","24833","","","vrɤ̀nemè se","reflexive","","","present","vrɤ̀nemè, se","24832, 12409","",""
"də sì ne vòda:","76468","","refl+obj.pron.","","","","","Dolno Draglište 1: 38","19971","","","də sì ne vòda:","reflexive","","","present","də, sì, ne, vòda:","974, 27023, 19972, 19967","",""
"ergènetò sə","76467","dbl.acc","","","","","","Dolno Draglište 1: 37","19969","","","ergènetò sə","","","","","ergènetò, sə","12646, 15898","",""
"vòda: si ne","76466","","refl+obj.pron.","","","","","Dolno Draglište 1: 37","19969","","","vòda: si ne","reflexive","","","present","vòda:, si, ne","19967, 12879, 19972","",""
"bèga: si","76465","","","","","","","Dolno Draglište 1: 36","19966","","","bèga: si","reflexive","","","present","bèga:, si","19963, 12879","",""
"pə si begùvame","76464","","","","","","","Dolno Draglište 1: 35","19957","","","pə si begùvame","reflexive","","","present","pə, si, begùvame","19437, 12879, 19956","",""
"dùma: si","76463","","","","","","","Dolno Draglište 1: 35","19957","","","dùma: si","reflexive","","","present","dùma:, si","19954, 12879","",""
"sèdne si","76462","","","","","","","Dolno Draglište 1: 34","19953","","","sèdne si","reflexive","","","present","sèdne, si","19951, 12879","",""
"də si zəlàže","76461","","","","","","","Dolno Draglište 1: 34","19953","","","də si zəlàže","reflexive","","","present","də, si, zəlàže","974, 12879, 19950","",""
"si ìmə","76460","","","","","","","Dolno Draglište 1: 34","19953","","","si ìmə","reflexive","","","present","si, ìmə","12879, 29532","",""
"sme rəbutìli","76459","","","","","","","Dolno Draglište 1: 33","19945","","","sme rəbutìli","","","","perfect","sme, rəbutìli","12768, 19943","",""
"izgàsa: ni","76458","","1.obj.pron.","","","","","Dolno Draglište 1: 32","19942","","","izgàsa: ni","","","","present","izgàsa:, ni","19940, 3056","",""
"pùsna: ne","76457","","1.obj.pron.","","","","","Dolno Draglište 1: 31","19938","","","pùsna: ne","","","","present","pùsna:, ne","19933, 19972","",""
"ne nè pùsna:","76456","","1.obj.pron.","","","","","Dolno Draglište 1: 30","19931","","neg-clit","ne nè pùsna:","","","","present","ne, nè, pùsna:","7850, 19961, 19933","",""
"si sedì","76455","","","","","","","Dolno Draglište 1: 28","19924","","","si sedì","reflexive","","","present","si, sedì","12879, 19922","",""
"bèlitè i","76454","dbl.acc","","","","","","Dolno Draglište 1: 28","19924","","","bèlitè i","","","","","bèlitè, i","19920, 19483","",""
"se umòče","76453","","","","","","","Dolno Draglište 1: 27","19916","","","se umòče","reflexive","","","present","se, umòče","12409, 19914","",""
"nè e kət segà","76452","","","","","","","Dolno Draglište 1: 26","19910","","neg-clit","nè e kət segà","","","","present","","","predicate",""
"gò sme puvivàli","76451","","1.obj.pron.","","","","","Dolno Draglište 1: 25","19905","","","gò sme puvivàli","","","","perfect","gò, sme, puvivàli","19880, 19959, 19904","","obj-aux"
"č’èrgi gò sme","76450","dbl.acc","","","","","","Dolno Draglište 1: 25","19905","","","č’èrgi gò sme","","","","","č'èrgi, gò, sme","19902, 19880, 19959","",""
"gu puvìvəme","76449","","1.obj.pron.","","","","","Dolno Draglište 1: 25","19905","","","gu puvìvəme","","","","present","gu, puvìvəme","11923, 19901","",""
"gu izmìem","76448","","1.obj.pron.","izmìem [nid:19900]","","","","Dolno Draglište 1: 25","19905","","","gu izmìem","","","","present","gu","11923","",""
"gu izmìeme","76447","","1.obj.pron.","","","","","Dolno Draglište 1: 24","19898","","","gu izmìeme","","","","present","gu, izmìeme","11923, 19897","",""
"i gu puvìeme","76446","","1.obj.pron.","","","","","Dolno Draglište 1: 24","19898","","","i gu puvìeme","","","","present","i, gu, puvìeme","19483, 11923, 19896","",""
"gu pùvə","76445","","1.obj.pron.","","","","","Dolno Draglište 1: 24","19898","","","gu pùvə","","","","present","gu, pùvə","11923, 19892","",""
"si vṛšèm","76444","","","","","","","Belica 2: 31","21193","","","si vṛšèm","reflexive","","","present","si, vṛšèm","12879, 54812","",""
"pòčvamè a","76443","dbl.acc","","","","","","Belica 2: 31","21193","","","pòčvamè a","","","","present","pòčvamè, a","21191, 23549","",""
"ogràdim gi","76442","","1.obj.pron.","","","","","Belica 2: 30","21190","","","ogràdim gi","","","","present","ogràdim, gi","21188, 1152","",""
"fkàra si gi","76441","","refl+obj.pron.","","","","","Belica 2: 30","21190","","","fkàra si gi","reflexive","","","present","fkàra, si, gi","21186, 12879, 1152","",""
"si ìma","76440","","","","","","","Belica 2: 29","21038","","","si ìma","reflexive","","","present","si, ìma","12879, 16340","",""
"ogràdim si gi","76439","","refl+obj.pron.","","","","","Belica 2: 25","21028","","","ogràdim si gi","reflexive","","","present","ogràdim, si, gi","21188, 12879, 1152","",""
"uràsi gu","76438","","1.obj.pron.","","","","","Dolno Draglište 1: 22","19891","","","uràsi gu","","","","present","uràsi, gu","19889, 11923","",""
"si vṛ̀zvame","76437","","","","","","","Belica 2: 21","20958","","","si vṛ̀zvame","reflexive","","","present","si, vṛ̀zvame","12879, 20845","",""
"kət se ròdi","76436","","","","","","","Dolno Draglište 1: 21","19883","","","kət se ròdi","reflexive","","","present","kət, se, ròdi","17035, 12409, 19882","",""
"gò sme gledàli","76435","","1.obj.pron.","","","","","Dolno Draglište 1: 21","19883","","","gò sme gledàli","","","","perfect","gò, sme, gledàli","19880, 12768, 19881","","obj-aux"
"rəždàli gò sme","76434","dbl.acc","","","","","","Dolno Draglište 1: 21","19883","","","rəždàli gò sme","","","","","rəždàli, gò, sme","19879, 19880, 12768","",""
"se vìkə","76432","","","","","","","Dolno Draglište 1: 19","19877","","","se vìkə","reflexive","","","present","se, vìkə","12409, 21077","",""
"č’ ìde","76431","","","","","","","Dolno Draglište 1: 15","19862","","","č’ ìde","","","","future","č', ìde","19855, 11973","",""
"č’ ìde","76430","","","","","","","Dolno Draglište 1: 14","19856","","","č’ ìde","","","","future","č', ìde","19855, 11973","",""
"vṛ̀zvame si","76429","","","","","","","Belica 2: 19","20952","","","vṛ̀zvame si","reflexive","","","present","vṛ̀zvame, si","20845, 12879","",""
"č’e fàne","76428","","","","","","","Dolno Draglište 1: 14","19856","","","č’e fàne","","","","future","č’e, fàne","19853, 17543","",""
"prèspa: si","76427","","","","","","","Dolno Draglište 1: 14","19856","","","prèspa: si","reflexive","","","present","prèspa:, si","19851, 12879","",""
"pìta: gu","76426","","1.obj.pron.","","","","","Dolno Draglište 1: 10","19793","","","pìta: gu","","","","present","pìta:, gu","19777, 11915","",""
"što ì mòtə","76425","addl.acc","1.obj.pron.","","","","","Dolno Draglište 1: 9","19792","","","što ì mòtə","","","","present","što, ì, mòtə","13346, 19790, 19787","",""
"pìta: gu","76424","","1.obj.pron.","","","","","Dolno Draglište 1: 7","19778","","","pìta: gu","","","","present","pìta:, gu","19777, 11915","",""
"pusrèštəmè jə","76423","dbl.acc","1.obj.pron.","","","","","Dolno Draglište 1: 4","19767","","","pusrèštəmè jə","","","","present","pusrèštəmè̝, jə","19760, 14297","",""
"pusrèštəmè̝ jə","76422","dbl.acc","1.obj.pron.","","","","","Dolno Draglište 1: 3","19761","","","pusrèštəmè̝ jə","","","","present","pusrèštəmè̝, jə","19760, 14297","",""
"vòdimè jə","76421","dbl.acc","1.obj.pron.","","","","","Dolno Draglište 1: 2","19757","","","vòdimè jə","","","","present","vòdimè, jə","19756, 14297","",""
"se ìdeše","76420","","","","","","","Dolno Draglište 1: 1","19754","","","se ìdeše","reflexive","","","imperfect","se, ìdeše","12409, 19752","",""
"də gu zəwɨ̀vəme","76405","","1.obj.pron.","","","","","Brŭšljan 4: 2","19052","","","də gu zəwɨ̀vəme","","","","present","də, gu, zəwɨ̀vəme","974, 11923, 19048","",""
"se l’ul’ɛ̀eme","76400","","","","","","","Brŭšljan 4: 66","19698","","","se l’ul’ɛ̀eme","reflexive","","","present","se, l'ul'ɛ̀eme","12409, 19675","",""
"sə kàčvəə","76399","","","","","","","Brŭšljan 4: 63","19690","","","sə kàčvəə","reflexive","","","imperfect","sə, kàčvəə","19574, 19689","",""
"mu vìkəmè","76398","","1.obj.pron.","","","","","Brŭšljan 4: 63","19690","","","mu vìkəmè","","","","present","mu, vìkəme","19054, 15909","",""
"št’à: ni ubɤ̀rne","76397","","1.obj.pron.","","","","","Brŭšljan 4: 61","19684","no.compl..","","št’à: ni ubɤ̀rne","","","","fut.in.past","št'à:, ni, ubɤ̀rne","18813, 11762, 19683","",""
"dvà trì","76396","","","","","","","Brŭšljan 4: 61","19684","approx.num","","dvà trì","","","nonsequential","","dvà, trì","33118, 18351","",""
"nə l’ùl’ə","76395","","1.obj.pron.","","","","","Brŭšljan 4: 60","19681","","","nə l’ùl’ə","","","","present","ne, l'ùl'ə","19972, 19680","",""
"št’à: dədème","76394","","","","","","","Brŭšljan 4: 59","19677","no.compl..","","št’à: dədème","","","","fut.in.past","št'à:, dədème","18813, 12665","",""
