"Phrase","PhraseID","Accentuation","Clitic objects","Cyrillic phrase","Doubled phrase","Evidential","Interrogative","Line","LineID","Miscellaneous","Negation","Phrase","Reflexive","Style","Syntactic cohesion","Tense-mood","Token","TokenID","Verbal phrase","Word order"
"sə svìvə prevìvə","76744","","","","","","","Čokmanovo 1: 34","12912","ellipsis","","sə svìvə prevìvə","","quoted.verse","","","sə, svìvə, prevìvə","19574, 74669, 74670","",""
"sə svìvə","76743","","","","","","","Čokmanovo 1: 34","12912","","","sə svìvə","reflexive","quoted.verse","","present","sə, svìvə","19574, 74669","",""
"prekrìehà jə","76742","dbl.acc","1.obj.pron.","","","","","Čokmanovo 1: 33","12905","","","prekrìehà jə","","","","imperfect","prekrìehà, jə","12902, 14297","",""
"sə pràveš’e","76741","","","","","","","Čokmanovo 1: 32","12897","","","sə pràveš’e","reflexive","","","imperfect","sə, pràveš'e","19574, 12892","",""
"še si tùrehme","76740","","","","","","","Čokmanovo 1: 30","12889","","","še si tùrehme","reflexive","","","fut.in.past","še, si, tùrehme","13272, 12879, 12886","",""
"si im’ɛ̀hne","76739","","","","","","","Čokmanovo 1: 29","12881","","","si im’ɛ̀hne","reflexive","","","imperfect","si, im'ɛ̀hne","12879, 12880","",""
"gur’ɛ̀hme si gi","76738","","refl+obj.pron.","","","","","Čokmanovo 1: 29","12881","","","gur’ɛ̀hme si gi","reflexive","","","imperfect","gur'ɛ̀hme, si, gi","12876, 12879, 1152","",""
"dukàrəme si gi","76737","","refl+obj.pron.","","","","","Čokmanovo 1: 29","12881","","","dukàrəme si gi","reflexive","","","present","dukàrəme, si, gi","23016, 12879, 1152","",""
"i si gu dukàrvəhme","76736","","refl+obj.pron.","","","","","Čokmanovo 1: 27","12864","","","i si gu dukàrvəhme","reflexive","","","imperative","i, si, gu, dukàrvəhme","19483, 12879, 11923, 12863","",""
"i gu tvàrehme","76735","","1.obj.pron.","","","","","Čokmanovo 1: 27","12864","","","i gu tvàrehme","","","","imperfect","i, gu, tvàrehme","19483, 11923, 12861","",""
"vejɛ̀hme gu","76734","","1.obj.pron.","","","","","Čokmanovo 1: 26","12859","","","vejɛ̀hme gu","","","","imperfect","vejɛ̀hme, gu","12858, 11923","",""
"i gu zbìrəme","76733","","1.obj.pron.","","","","","Čokmanovo 1: 26","12859","","","i gu zbìrəme","","","","imperfect","i, gu, zbìrəme","19483, 11923, 15106","",""
"i gu nəvɔ̀ršvəhme","76732","","1.obj.pron.","","","","","Čokmanovo 1: 26","12859","","","i gu nəvɔ̀ršvəhme","","","","imperfect","i, gu, nəvɔ̀ršvəhme","19483, 11923, 12854","",""
"izvɔ̀rhəme gu","76731","","1.obj.pron.","","","","","Čokmanovo 1: 24","12846","","","izvɔ̀rhəme gu","","","","aorist","izvɔ̀rhəme, gu","23013, 11923","",""
"sə bìli","76730","","","","","","","Čokmanovo 1: 21","12833","","","sə bìli","","","","perfect","sə, bìli","16432, 12829","",""
"spumìnəmè si","76729","dbl.acc","","","","","","Čokmanovo 1: 21","12833","","","spumìnəmè si","reflexive","","","present","spumìnəmè, si","12825, 12879","",""
"də sə vèselìm’e","76728","","","","","","","Čokmanovo 1: 20","12824","","","də sə vèselìm’e","reflexive","","","present","də, sə, vèselìm'e","974, 19574, 23010","",""
"də sə sm’èjem","76727","","","","","","","Čokmanovo 1: 19","12819","","","də sə sm’èjem","reflexive","","","present","də, sə, sm'èjem","974, 19574, 12818","",""
"sə vɔ̀rnehme","76726","","","","","","","Čokmanovo 1: 18","12813","","","sə vɔ̀rnehme","reflexive","","nonsequential","imperfect","sə, vɔ̀rnehme","19574, 12812","",""
"sə kàzvaš’e","76725","","","","","","","Čokmanovo 1: 17","12802","","","sə kàzvaš’e","reflexive","","","imperfect","sə, kàzvaš'e","19574, 12801","",""
"hi rìtnat","76724","","1.obj.pron.","","","","","Čokmanovo 1: 16","12794","","","hi rìtnat","","","","present","hi, rìtnat","14253, 31935","",""
"stàrite hi zərìtəhə","76723","","1.obj.pron.","","nom-clt.pron.","","","Čokmanovo 1: 16","12794","","","stàrite hi zərìtəhə","","","","aorist","stàrite, hi, zərìtəhə","12788, 14253, 12789","",""
"si ìməme","76722","","","","","","","Čokmanovo 1: 16","12794","","","si ìməme","reflexive","","","present","si, ìməme","12879, 29914","",""
"nè e imàlu","76721","","","","","","","Čokmanovo 1: 14","12777","","neg-clit","nè e imàlu","","","","perfect","nè, e, imàlu","12294, 26185, 12775","",""
"nè e imàlu","76720","","","","","","","Čokmanovo 1: 14","12777","","neg-clit","nè e imàlu","","","","perfect","nè, e, imàlu","12294, 26185, 12775","",""
"sme iskùtvəli","76719","","","","","","","Čokmanovo 1: 13","12770","","","sme iskùtvəli","","","","perfect","sme, iskùtvəli","12768, 12769","",""
"də gu ustàv’ət","76718","","1.obj.pron.","","","","","Čokmanovo 1: 13","12770","","","də gu ustàv’ət","","","","present","də, gu, ustàv'ət","974, 11923, 12767","",""
"si uvəž’ɛ̀vəhme","76717","","","","","","","Čokmanovo 1: 12","12763","","","si uvəž’ɛ̀vəhme","reflexive","","","imperfect","si, uvəž'ɛ̀vəhme","12879, 12762","",""
"si uvəž’ɛ̀vəhme","76716","","","","","","","Čokmanovo 1: 12","12763","","","si uvəž’ɛ̀vəhme","reflexive","","","imperfect","si, uvəž'ɛ̀vəhme","12879, 12762","",""
"č’i si znàehme","76715","","","","","","","Čokmanovo 1: 12","12763","","","č’i si znàehme","reflexive","","","imperfect","č'i, si, znàehme","15098, 12879, 12757","",""
"beše si","76714","","","","","","","Čokmanovo 1: 11","12753","","","beše si","reflexive","","","imperfect","beše, si","33342, 12879","",""
"bilò e","76713","","","","","","","Čokmanovo 1: 11","12753","","","bilò e","","","","perfect","bilò, e","23053, 26185","",""
"n’è e bilò","76712","","","","","","","Čokmanovo 1: 11","12753","","neg-clit","n’è e bilò","","","","perfect","n'è, e, bilo","21010, 26185, 12754","",""
"žə rukɔ̀t","76711","","","","","","","Čokmanovo 1: 10","12745","","","žə rukɔ̀t","","","","future","žə, rukɔ̀t","12743, 12744","",""
"sìč’kit’e pràznici gi tàč’ehme","76710","","1.obj.pron.","","nom-clt.pron.","","","Čokmanovo 1: 9","12725","","","sìč’kit’e pràznici gi tàč’ehme","","","","imperfect","sìč'kit'e, pràznici, gi, tàč'ehme","16622, 10070, 1152, 12719","",""
"duhòdəhmè si","76709","dbl.acc","","","","","","Čokmanovo 1: 7","12716","","","duhòdəhmè si","reflexive","","","imperfect","duhòdəhmè, si","26898, 12879","",""
"tuvàr’əhme si","76708","","","","","","","Čokmanovo 1: 7","12716","","","tuvàr’əhme si","reflexive","","","imperfect","tuvàr'əhme, si","12713, 12879","",""
